Armadillo, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Armadillo 
Armageddon Girl, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Armageddon_Girl 
Armageddon Man, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Armageddon_Man 
Armless Tiger Man, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Armless_Tiger_Man 
Armor, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Armor 
Armory, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Armory 
Amanda Armstrong, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Amanda_Armstrong 
Aron, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Aron 
Arsenal, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Arsenal 
Arsenic, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Arsenic 
Asbestos Man, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Asbestos_Man 
Asha, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Asha 
Mike Asher, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Mike_Asher 
Asmodeus, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Asmodeus 
Asp, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Asp 
Astra, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Astra 
Vance Astro, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Vance_Astro 
Astronomer, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Astronomer 
Atalanta, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Atalanta 
Athena, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Athena 
Atlas, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Atlas 
Atom-Smasher, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Atom-Smasher 
Attuma, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Attuma 
Atum, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Atum 
Auran, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Auran 
Auric, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Auric 
Aurora, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Aurora 
Avalanche, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Avalanche 
Avoe, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Avoe 
Awesome Android, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Awesome_Android 
Azazel, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Azazel 
Azazoth, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Azazoth 
Azzuri, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#Azzuri 
References, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_A#References 
List of Marvel Comics characters, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#toc-title-text 
Bagheera, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bagheera 
Nakia Bahadir, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Nakia_Bahadir 
Bakuto, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bakuto 
Balthazar, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Balthazar 
Martine Bancroft, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Martine_Bancroft 
Bruce Banner, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bruce_Banner 
Elaine Banner, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Elaine_Banner 
